Environmental package	Structured comment name	Package item	Definition	Requirement	Expected value	Value syntax	Occurrence	Position	Preferred unit
soil	al_sat	extreme_unusual_properties/Al saturation	aluminum saturation (esp. for tropical soils)	X	measurement value	{float} {unit}	1	49	percentage
soil	al_sat_meth	extreme_unusual_properties/Al saturation method	reference or method used in determining Al saturation	X	PMID,DOI or URL	{PMID|DOI|URL}	1	50	
soil	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	51	
wastewater/sludge	depth	depth	depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples	C	measurement value	{float} m	1	0	
wastewater/sludge	alkalinity	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	X	measurement value	{float} {unit}	1	1	milliequivalent per liter
wastewater/sludge	biochem_oxygen_dem	biochemical oxygen demand	a measure of the relative oxygen-depletion effect of a waste contaminant	X	measurement value	{float} {unit}	1	1	milligram per liter
wastewater/sludge	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	1	
wastewater/sludge	chem_oxygen_dem	chemical oxygen demand	a measure of the relative oxygen-depletion effect of a waste contaminant	X	measurement value	{float} {unit}	1	1	milligram per liter
wastewater/sludge	efficiency_percent	efficiency percent	percentage of volatile solids removed from the anaerobic digestor	X	measurement value	{float} {unit}	1	1	micromole per liter
wastewater/sludge	emulsions	emulsions	amount or concentration of substances such as paints, adhesives, mayonnaise, hair colorants, emulsified oils, etc.; can include multiple emulsion types	X	emulsion name;measurement value	{text};{float} {unit}	m	1	gram per liter
wastewater/sludge	gaseous_substances	gaseous substances	amount or concentration of substances such as hydrogen sulfide, carbon dioxide, methane, etc.; can include multiple substances	X	gaseous substance name;measurement value	{text};{float} {unit}	m	1	micromole per liter
wastewater/sludge	indust_eff_percent	industrial effluent percent	percentage of industrial effluents received by wastewater treatment plant	X	measurement value	{float} {unit}	1	1	percentage
wastewater/sludge	inorg_particles	inorganic particles	concentration of particles such as sand, grit, metal particles, ceramics, etc.; can include multiple particles	X	inorganic particle name;measurement value	{text};{float} {unit}	m	1	mole per liter, milligram per liter
wastewater/sludge	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	1	
wastewater/sludge	nitrate	nitrate	concentration of nitrate	X	measurement value	{float} {unit}	1	1	micromole per liter
wastewater/sludge	org_particles	organic particles	concentration of particles such as faeces, hairs, food, vomit, paper fibers, plant material, humus, etc.	X	particle name;measurement value	{text};{float} {unit}	m	1	gram per liter
wastewater/sludge	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	1	number of organism per cubic meter
wastewater/sludge	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	1	
wastewater/sludge	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	1	
wastewater/sludge	ph	pH	pH measurement	X	measurement value	{float}	1	1	
wastewater/sludge	phosphate	phosphate	concentration of phosphate	X	measurement value	{float} {unit}	1	1	micromole per liter
wastewater/sludge	pre_treatment	pre-treatment	the process of pre-treatment removes materials that can be easily collected from the raw wastewater	X	pre-treatment type	{text}	1	1	
wastewater/sludge	primary_treatment	primary treatment	the process to produce both a generally homogeneous liquid capable of being treated biologically and a sludge that can be separately treated or processed	X	primary treatment type	{text}	1	1	
wastewater/sludge	reactor_type	reactor type	anaerobic digesters can be designed and engineered to operate using a number of different process configurations, as batch or continuous, mesophilic, high solid or low solid, and single stage or multistage	X	reactor type name	{text}	1	1	
wastewater/sludge	samp_salinity	sample salinity	salinity of sample, i.e. measure of total salt concentration	X	measurement value	{float} {unit}	1	1	practical salinity unit, percentage
wastewater/sludge	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	1	
wastewater/sludge	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	1	
wastewater/sludge	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	1	degree Celsius
wastewater/sludge	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	1	millliter, gram, milligram
wastewater/sludge	secondary_treatment	secondary treatment	the process for substantially degrading the biological content of the sewage 	X	secondary treatment type	{text}	1	1	
wastewater/sludge	sewage_type	sewage type	type of wastewater treatment plant as municipial or industrial	X	sewage type name	{text}	1	1	
wastewater/sludge	sludge_retent_time	sludge retention time	the time activated sludge remains in reactor	X	measurement value	{float} {unit}	1	1	hours
wastewater/sludge	sodium	sodium	sodium concentration	X	measurement value	{float} {unit}	1	1	parts per million
wastewater/sludge	soluble_inorg_mat	soluble inorganic material	concentration of substances such as ammonia, road-salt, sea-salt, cyanide, hydrogen sulfide, thiocyanates, thiosulfates, etc.	X	soluble inorganic material name;measurement value	{text};{float} {unit}	m	1	gram, microgram, mole per liter, gram per liter, parts per million
wastewater/sludge	soluble_org_mat	soluble organic material	concentration of substances such as urea, fruit sugars, soluble proteins, drugs, pharmaceuticals, etc.	X	soluble organic material name;measurement value	{text};{float} {unit}	m	1	gram, microgram, mole per liter, gram per liter, parts per million
wastewater/sludge	suspend_solids	suspended solids	concentration of substances including a wide variety of material, such as silt, decaying plant and animal matter, etc,; can include multiple substances	X	suspended solid name;measurement value	{text};{float} {unit}	m	1	gram, microgram, mole per liter, gram per liter, part per million
wastewater/sludge	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	1	degree Celsius
wastewater/sludge	tertiary_treatment	tertiary treatment	the process providing a final treatment stage to raise the effluent quality before it is discharged to the receiving environment	X	tertiary treatment type	{text}	1	1	
wastewater/sludge	tot_nitro	total nitrogen	total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen	X	measurement value	{float} {unit}	1	1	microgram per liter, micromole per liter
wastewater/sludge	tot_phosphate	total phosphate	total amount or concentration of phosphate	X	measurement value	{float} {unit}	1	1	microgram per liter, micromole per liter
wastewater/sludge	wastewater_type	wastewater type	the origin of wastewater such as human waste, rainfall, storm drains, etc.	X	wastewater type name	{text}	1	1	
water	alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	-	measurement value	{float} m	1	0	meter
water	depth	depth	depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples	M	measurement value	{float} m	1	0	
water	elev	elevation	the elevation of the sampling site as measured by the vertical distance from mean sea level	C	measurement value	{float} {unit}	1	0	meter
water	alkalinity	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	X	measurement value	{float} {unit}	1	1	milliequivalent per liter
water	alkyl_diethers	alkyl diethers	concentration of alkyl diethers 	X	measurement value	{float} {unit}	1	1	mole per liter
water	aminopept_act	aminopeptidase activity	measurement of aminopeptidase activity	X	measurement value	{float} {unit}	1	1	mole per liter per hour
water	ammonium	ammonium	concentration of ammonium	X	measurement value	{float} {unit}	1	1	micromole per liter
water	atmospheric_data	atmospheric data	measurement of atmospheric data; can include multiple data	X	atmospheric data name;measurement value	{text};{float} {unit}	m	1	
water	bac_prod	bacterial production	bacterial production in the water column measured by isotope uptake	X	measurement value	{float} {unit}	1	1	milligram per cubic meter per day
water	bac_resp	bacterial respiration	measurement of bacterial resporation in the water column	X	measurement value	{float} {unit}	1	1	milligram per cubic meter per day
water	bacteria_carb_prod	bacterial carbon production	measurement of bacterial carbon production	X	measurement value	{float} {unit}	1	1	nanogram per hour
water	biomass	biomass	amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements	X	biomass type;measurement value	{text};{float} {unit}	m	1	ton, kilogram, gram
water	bishomohopanol	bishomohopanol	concentration of bishomohopanol 	X	measurement value	{float} {unit}	1	1	microgram per liter, microgram per gram
water	bromide	bromide	concentration of bromide 	X	measurement value	{float} {unit}	1	1	parts per million
water	calcium	calcium	concentration of calcium	X	measurement value	{float} {unit}	1	1	milligram per liter, micromole per liter, parts per million
water	carb_nitro_ratio	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen	X	measurement value	{float} {unit}	1	1	
water	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	1	
water	chloride	chloride	concentration of chloride 	X	measurement value	{float} {unit}	1	1	milligram per liter
water	chlorophyll	chlorophyll	concentration of chlorophyll	X	measurement value	{float} {unit}	1	1	milligram per cubic meter, microgram per liter
water	conduc	conductivity	electrical conductivity of water	X	measurement value	{float} {unit}	1	1	milliSiemens per centimeter
water	density	density	density of sample	X	measurement value	{float} {unit}	1	1	gram per cubic meter
water	diether_lipids	diether lipids	concentration of diether lipids; can include multiple types of diether lipids	X	diether lipid name;measurement value	{text};{float} {unit}	m	1	nanogram per liter
water	diss_carb_dioxide	dissolved carbon dioxide	concentration of dissolved carbon dioxide	X	measurement value	{float} {unit}	1	1	micromole per liter
water	diss_hydrogen	dissolved hydrogen	concentration of dissolved hydrogen	X	measurement value	{float} {unit}	1	1	micromole per liter
water	diss_inorg_carb	dissolved inorganic carbon	dissolved inorganic carbon concentration	X	measurement value	{float} {unit}	1	1	microgram per liter
water	diss_inorg_nitro	dissolved inorganic nitrogen	concentration of dissolved inorganic nitrogen 	X	measurement value	{float} {unit}	1	1	microgram per liter
water	diss_inorg_phosp	dissolved inorganic phosphorus	concentration of dissolved inorganic phosphorus 	X	measurement value	{float} {unit}	1	1	microgram per liter
water	diss_org_carb	dissolved organic carbon	concentration of dissolved organic carbon	X	measurement value	{float} {unit}	1	1	micromole per liter
water	diss_org_nitro	dissolved organic nitrogen	dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2	X	measurement value	{float} {unit}	1	1	microgram per liter, milligram per liter
water	diss_oxygen	dissolved oxygen	concentration of dissolved oxygen	X	measurement value	{float} {unit}	1	1	micromole per kilogram
water	down_par	downward PAR	visible waveband radiance and irradiance measurements in the water column	X	measurement value	{float} {unit}	1	1	microEinstein per meter per second
water	fluor	fluorescence	raw or converted fluorescence of water	X	measurement value	{float} {unit}	1	1	milligram chlorophyll a per cubic meter
water	glucosidase_act	glucosidase activity	measurement of glucosidase activity	X	measurement value	{float} {unit}	1	1	mol per liter per hour
water	light_intensity	light intensity	measurement of light intensity	X	measurement value	{float} {unit}	1	1	lux
water	magnesium	magnesium	concentration of magnesium	X	measurement value	{float} {unit}	1	1	mole per liter, milligram per liter, parts per million
water	mean_frict_vel	mean friction velocity	measurement of mean friction velocity	X	measurement value	{float} {unit}	1	1	meter per second
water	mean_peak_frict_vel	mean peak friction velocity	measurement of mean peak friction velocity	X	measurement value	{float} {unit}	1	1	meter per second
water	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	1	
water	n_alkanes	n-alkanes	concentration of n-alkanes; can include multiple n-alkanes	X	n-alkane name;measurement value	{text};{float} {unit}	m	1	micromole per liter
water	nitrate	nitrate	concentration of nitrate	X	measurement value	{float} {unit}	1	1	micromole per liter
water	nitrite	nitrite	concentration of nitrite	X	measurement value	{float} {unit}	1	1	micromole per liter
water	nitro	nitrogen	concentration of nitrogen (total)	X	measurement value	{float} {unit}	1	1	micromole per liter
water	org_carb	organic carbon	concentration of organic carbon	X	measurement value	{float} {unit}	1	1	micromole per liter
water	org_matter	organic matter	concentration of organic matter 	X	measurement value	{float} {unit}	1	1	microgram per liter
water	org_nitro	organic nitrogen	concentration of organic nitrogen	X	measurement value	{float} {unit}	1	1	microgram per liter
water	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	1	number of organism per cubic meter
water	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	1	
water	part_org_carb	particulate organic carbon	concentration of particulate organic carbon	X	measurement value	{float} {unit}	1	1	microgram per liter
water	part_org_nitro	particulate organic nitrogen	concentration of particulate organic nitrogen	X	measurement value	{float} {unit}	1	1	microgram per liter
water	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	1	
water	petroleum_hydrocarb	petroleum hydrocarbon	concentration of petroleum hydrocarbon	X	measurement value	{float} {unit}	1	1	micromole per liter
water	ph	pH	pH measurement	X	measurement value	{float}	1	1	
water	phaeopigments	phaeopigments	concentration of phaeopigments; can include multiple phaeopigments	X	phaeopigment name;measurement value	{text};{float} {unit}	m	1	milligram per cubic meter
water	phosphate	phosphate	concentration of phosphate	X	measurement value	{float} {unit}	1	1	micromole per liter
water	phosplipid_fatt_acid	phospholipid fatty acid	concentration of phospholipid fatty acids; can include multiple values	X	phospholipid fatty acid name;measurement value	{text};{float} {unit}	m	1	mole per gram, mole per liter
water	photon_flux	photon flux	measurement of photon flux	X	measurement value	{float} {unit}	1	1	micromole per square meter per second
water	potassium	potassium	concentration of potassium 	X	measurement value	{float} {unit}	1	1	parts per million
water	pressure	pressure	pressure to which the sample is subject, in atmospheres	X	measurement value	{float} {unit}	1	1	atmosphere
water	primary_prod	primary production	measurement of primary production 	X	measurement value	{float} {unit}	1	1	milligram per cubic meter per day, gram per square meter per day
water	redox_potential	redox potential	redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential	X	measurement value	{float} {unit}	1	1	millivolt
water	salinity	salinity	salinity measurement	X	measurement value	{float} {unit}	1	1	practical salinity unit, percentage
water	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	1	
water	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	1	
water	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	1	degree Celsius
water	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	1	millliter, gram, milligram
water	silicate	silicate	concentration of silicate	X	measurement value	{float} {unit}	1	1	micromole per liter
water	sodium	sodium	sodium concentration	X	measurement value	{float} {unit}	1	1	parts per million
water	soluble_react_phosp	soluble reactive phosphorus	concentration of soluble reactive phosphorus	X	measurement value	{float} {unit}	1	1	micromole per liter
water	sulfate	sulfate	concentration of sulfate	X	measurement value	{float} {unit}	1	1	micromole per liter, milligram per liter
water	sulfide	sulfide	concentration of sulfide	X	measurement value	{float} {unit}	1	1	micromole per liter, milligram per liter
water	suspend_part_matter	suspended particulate matter	concentration of suspended particulate matter	X	measurement value	{float} {unit}	1	1	milligram per liter
water	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	1	degree Celsius
water	tidal_stage	tidal stage	stage of tide	X	enumeration	[low|high]	1	1	
water	tot_depth_water_col	total depth of water column	measurement of total depth of water column	X	measurement value	{float} {unit}	1	1	meter
water	tot_diss_nitro	total dissolved nitrogen	total dissolved nitrogen concentration, reported as nitrogen, measured by: total dissolved nitrogen = NH4 + NO3NO2 + dissolved organic nitrogen	X	measurement value	{float} {unit}	1	1	microgram per liter
water	tot_inorg_nitro	total inorganic nitrogen	total inorganic nitrogen content	X	measurement value	{float} {unit}	1	1	microgram per liter
water	tot_nitro	total nitrogen	total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen	X	measurement value	{float} {unit}	1	1	microgram per liter, micromole per liter
water	tot_part_carb	total particulate carbon	total particulate carbon content	X	measurement value	{float} {unit}	1	1	microgram per liter, micromole per liter
water	tot_phosp	total phosphorus	total phosphorus concentration, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus. Can also be measured without filtering, reported as phosphorus	X	measurement value	{float} {unit}	1	1	micromole per liter
water	water_current	water current	measurement of magnitude and direction of flow within a fluid	X	measurement value	{float} {unit}	1	1	cubic meter per second, knots
